size,consistency_level,avg_elapsed_time_ms
1048576,Committed,14
1048576,Finalized,11
1048576,Committed,4
1048576,Finalized,5
1048576,Committed,5
1048576,Finalized,5
10485760,Committed,37
10485760,Finalized,35
10485760,Committed,27
10485760,Finalized,33
10485760,Committed,27
10485760,Finalized,29
20971520,Committed,62
20971520,Finalized,56
20971520,Committed,59
20971520,Finalized,63
20971520,Committed,55
20971520,Finalized,63
31457280,Committed,86
31457280,Finalized,84
31457280,Committed,87
31457280,Finalized,89
31457280,Committed,88
31457280,Finalized,84
41943040,Committed,111
41943040,Finalized,121
41943040,Committed,117
41943040,Finalized,116
41943040,Committed,111
41943040,Finalized,112
52428800,Committed,151
52428800,Finalized,136
52428800,Committed,146
52428800,Finalized,146
52428800,Committed,155
52428800,Finalized,139
62914560,Committed,170
62914560,Finalized,167
62914560,Committed,163
62914560,Finalized,162
62914560,Committed,160
62914560,Finalized,164
73400320,Committed,183
73400320,Finalized,193
73400320,Committed,190
73400320,Finalized,181
73400320,Committed,188
73400320,Finalized,190
83886080,Committed,225
83886080,Finalized,225
83886080,Committed,215
83886080,Finalized,217
83886080,Committed,215
83886080,Finalized,217
94371840,Committed,258
94371840,Finalized,243
94371840,Committed,246
94371840,Finalized,245
94371840,Committed,228
94371840,Finalized,247
