size,consistency_level,avg_elapsed_time_ms
1048576,Eventual,113
1048576,Committed,616
1048576,Finalized,9603
10485760,Eventual,151
10485760,Committed,2243
10485760,Finalized,9072
20971520,Eventual,239
20971520,Committed,2688
20971520,Finalized,9888
31457280,Eventual,259
31457280,Committed,1848
31457280,Finalized,9380
41943040,Eventual,327
41943040,Committed,2296
41943040,Finalized,8868
52428800,Eventual,462
52428800,Committed,2672
52428800,Finalized,9715
62914560,Eventual,459
62914560,Committed,1823
62914560,Finalized,9205
73400320,Eventual,542
73400320,Committed,2260
73400320,Finalized,10011
83886080,Eventual,579
83886080,Committed,1397
83886080,Finalized,9495
94371840,Eventual,695
94371840,Committed,1805
94371840,Finalized,8971
